Customer ID,Recency,Frequency,MonetaryValue,R,F,M,RFM_segment,RFM_score,Segment
12346,327,1,77183.6,1,1,4,114,6,Middle
12747,24,103,4196.010000000001,3,4,4,344,11,Top
12748,5,4243,32449.900000000413,4,4,4,444,12,Top
12749,24,199,4090.880000000001,3,4,4,344,11,Top
12820,46,59,942.3399999999999,3,3,3,333,9,Low
12821,97,6,92.72,2,1,1,211,4,Low
12822,72,46,948.8799999999999,2,3,3,233,8,Middle
12823,76,5,1759.5,2,1,4,214,7,Middle
12824,31,25,397.11999999999995,3,2,2,322,7,Middle
12826,61,91,1474.7199999999993,3,3,3,333,9,Low
12827,46,25,430.15,3,2,2,322,7,Middle
12828,114,56,1018.7100000000003,2,3,3,233,8,Middle
12829,163,11,293.0,2,1,1,211,4,Low
12830,93,38,6814.640000000001,2,2,4,224,8,Middle
12831,264,9,215.05,1,1,1,111,3,Low
12832,153,27,383.03000000000003,2,2,2,222,6,Middle
12833,147,24,417.37999999999994,2,2,2,222,6,Middle
12834,311,18,312.38,1,2,2,122,5,Middle
12836,31,173,2607.8599999999988,3,4,4,344,11,Top
12837,175,12,134.1,1,1,1,111,3,Low
12838,183,117,660.7699999999995,1,4,3,143,8,Middle
12839,13,314,5591.420000000003,4,4,4,444,12,Top
12840,66,113,2726.769999999999,2,4,4,244,10,Top
12841,5,409,3961.649999999998,4,4,4,444,12,Top
12842,72,34,1118.99,2,2,3,223,7,Middle
12843,67,103,1702.26,2,4,4,244,10,Top
12844,61,52,325.9599999999999,3,3,2,332,8,Middle
12845,269,27,354.09000000000003,1,2,2,122,5,Middle
12847,24,77,815.7399999999999,3,3,3,333,9,Low
12849,122,45,969.6899999999998,2,3,3,233,8,Middle
12851,246,45,128.65,1,3,1,131,5,Middle
12852,296,17,311.54999999999995,1,2,2,122,5,Middle
12853,136,78,1957.1,2,3,4,234,9,Low
12854,7,108,1308.0000000000007,4,4,3,443,11,Top
12855,667,3,38.1,1,1,1,111,3,Low
12856,20,308,2161.630000000001,4,4,4,444,12,Top
12857,70,46,1106.4000000000003,2,3,3,233,8,Middle
12863,54,5,521.2,3,1,2,312,6,Middle
12864,140,3,147.12,2,1,1,211,4,Low
12867,28,530,3981.859999999996,3,4,4,344,11,Top
12868,10,107,1607.0600000000009,4,4,4,444,12,Top
12871,86,11,380.64000000000004,2,1,2,212,5,Middle
12872,328,66,599.9699999999998,1,3,2,132,6,Middle
12873,311,4,374.0,1,1,2,112,4,Low
12875,145,2,343.2300000000001,2,1,2,212,5,Middle
12877,26,154,1535.7700000000007,3,4,3,343,10,Top
12878,238,47,854.9899999999999,1,3,3,133,7,Middle
